id;login;password_hash;first_name;last_name;email;image_url;activated;lang_key;created_by;last_modified_by
e2c1a3fa-e727-45b0-a0fc-35bf0f284166;anonymoususer;$2a$10$j8S5d7Sr7.8VTOYNviDPOeWX8KcYILUVJBsYV83Y5NtECayypx9lO;Anonymous;User;anonymous@localhost;;true;ru;system;system
62c9d87b-532d-46c3-992a-a6ddc162014d;user_1;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User;User;user1@localhost;;true;ru;system;system
93e857bb-c1ee-4e1d-9936-f2fef78ec247;user_2;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User;User;user2@localhost;;true;ru;system;system
7a5dd332-0e13-4e50-8079-d8fa1fde339f;user_3;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User;User;user3@localhost;;true;ru;system;system
8f9057b7-5ada-4246-8a63-6a39b610acd9;user_4;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User;User;user4@localhost;;true;ru;system;system
a58c7f73-f461-45f5-8740-076b974afaf5;user_5;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User;User;user5@localhost;;true;ru;system;system
1dff307c-ace9-4f3f-9abb-49367a9e2bf6;user_6;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User;User;user6@localhost;;true;ru;system;system
5ebc8ac7-8cf7-4fdb-899f-3b2c34c9064b;user_7;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User;User;user7@localhost;;true;ru;system;system
8ebaf120-0c7b-4767-a59e-cb82d2cb837b;user_8;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User;User;user8@localhost;;true;ru;system;system
db65f761-61ef-48e8-878f-9bb753906fc9;user_9;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User;User;user9@localhost;;true;ru;system;system
8c1c3e87-6a4c-4a8d-9731-970838781971;user_10;$2a$10$VEjxo0jq2YG9Rbk2HmX9S.k1uZBGYUHdUcid3g/vfiEl7lwWgOH/K;User;User;user10@localhost;;true;ru;system;system
